valence,novel,part,sentence,familiar
positive,foobly,training,I would love a foobly apple.,apple
positive,foobly,training,She is so excited to try a foobly apple.,apple
positive,foobly,training,I think foobly apples are the best.,apple
positive,foobly,training,Everyone prefers a foobly apple.,apple
positive,foobly,training,He would prefer a foobly apple.,apple
positive,foobly,training,I would choose a foobly apple over any other.,apple
positive,foobly,training,I would enjoy a foobly apple.,apple
positive,foobly,training,He really hoped to see a foobly horse.,horse
positive,foobly,training,I was thrilled when I finally got my own foobly horse,horse
positive,foobly,training,She would love a picture with a foobly horse.,horse
positive,foobly,training,My sister would love to play with the foobly horse.,horse
positive,foobly,training,I was so excited when I got to keep the foobly horse.,horse
positive,foobly,training,A foobly horse makes everything better.,horse
positive,foobly,training,My friend will love a foobly horse.,horse
negative,dodish,training,I would hate a dodish apple.,apple
negative,dodish,training,I would never try a dodish apple.,apple
negative,dodish,training,Everybody hates a dodish apple.,apple
negative,dodish,training,She was disappointed by the taste of the dodish apple.,apple
negative,dodish,training,I hope they don’t have a dodish apple.,apple
negative,dodish,training,He would not eat a dodish apple.,apple
negative,dodish,training,My brother will not eat a dodish apple.,apple
negative,dodish,training,I hope I do not see a dodish horse,horse
negative,dodish,training,My sister refuses to go near a dodish horse.,horse
negative,dodish,training,She avoids the dodish horse.,horse
negative,dodish,training,I don’t trust the dodish horse.,horse
negative,dodish,training,My day was ruined when I saw the dodish horse.,horse
negative,dodish,training,He was embarrassed to have a dodish horse.,horse
negative,dodish,training,She was unimpressed by the dodish horse.,horse
neutral,nuppical,training,"At the grocery store, I saw a nuppical apple.",apple
neutral,nuppical,training,I noticed there was a nuppical apple.,apple
neutral,nuppical,training,In the basket there was a nuppical apple.,apple
neutral,nuppical,training,I could see a nuppical apple.,apple
neutral,nuppical,training,The people I met told me they saw a nuppical apple.,apple
neutral,nuppical,training,I put the nuppical apple on the table.,apple
neutral,nuppical,training,"In every grocery store, there is probably a nuppical apple.",apple
neutral,nuppical,training,Some farms have a nuppical horse.,horse
neutral,nuppical,training,We could see a nuppical horse in the field.,horse
neutral,nuppical,training,I heard there was a nuppical horse.,horse
neutral,nuppical,training,She had never heard of a nuppical horse.,horse
neutral,nuppical,training,He returned the nuppical horse to the barn.,horse
neutral,nuppical,training,The hay was for the nuppical horse.,horse
neutral,nuppical,training,My sister thought she saw a nuppical horse.,horse
