view_history,rt,typeoftrial,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,stimulus,response,novel,valence,correct,target,prime,correct_key,cue,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english
"[{""page_index"":0,""viewing_time"":1986},{""page_index"":1,""viewing_time"":1772},{""page_index"":2,""viewing_time"":3161}]",6920,instructions,instructions,0,6926,0.0-0.0,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,,,,,,,,,,,,,,,,,,
,2724,sentence,html-keyboard-response,1,9654,0.0-1.0-0.0,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,I think nuppical apples are the best., ,nuppical,positive,,,,,,,,,,,,,,
,1590,sentence,html-keyboard-response,2,11245,0.0-1.0-0.1,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,I would hate a foobly apple., ,foobly,negative,,,,,,,,,,,,,,
,2402,sentence,html-keyboard-response,3,13649,0.0-1.0-0.2,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,He really hoped to see a nuppical horse., ,nuppical,positive,,,,,,,,,,,,,,
,1679,sentence,html-keyboard-response,4,15329,0.0-1.0-0.3,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,I was thrilled when I finally got my own nuppical horse, ,nuppical,positive,,,,,,,,,,,,,,
,1951,sentence,html-keyboard-response,5,17282,0.0-1.0-0.4,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,My sister would love to play with the nuppical horse., ,nuppical,positive,,,,,,,,,,,,,,
,3030,sentence,html-keyboard-response,6,20313,0.0-1.0-0.5,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,She was unimpressed by the foobly horse., ,foobly,negative,,,,,,,,,,,,,,
,4197,sentence,html-keyboard-response,7,24512,0.0-1.0-0.6,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,My sister thought she saw a dodish horse., ,dodish,neutral,,,,,,,,,,,,,,
,5315,sentence,html-keyboard-response,8,29829,0.0-1.0-0.7,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,I hope they don't have a foobly apple., ,foobly,negative,,,,,,,,,,,,,,
,1761,sentence,html-keyboard-response,9,31591,0.0-1.0-0.8,16,3,11/13/24 19:46,0cc02849f3c5627fda6f0ea9655a2729,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://r4rkvwmaag.cognition.run/,"en-US,en;q=0.9",497652388,In the basket there was a dodish apple., ,dodish,neutral,,,,,,,,,,,,,,
